,Stemmed
1635,powerofreceh bawasluri kpuid massal salah input 
1636,sheismysin kpuid selamat pagi proses semua data masuk proses data memenang 
1637,aburizalbakrie maldhaddad serius pakkan kerja serius ngurangin jumlah terus buat nambahin 
1638,jadi kpuid yah mengkorupsi jabat posisi jelas presiden ri 
1639,jokowi pemilu  curng kpu netrl  lapor bawaslu  via youtube 
1640,please dong siapapun kubu manapun tahan diri utamakan deklarasi damai deklarasi pers 
1641,wah kalau audit forensik tahu siapa instruksi 
1642,tehtjemplung lucu nihjambi batanghari batinxxiv muara jangga tps  input situng kpu   sama 
1643,tunjuk jelang ramadhan menang bangsa indonesia insya allah hitung suara insya all 
1644,zarafaul nsusan libra kpuid wr fagtng bangzul sarpakenaka pantunjp ariantobulolo ngaku 
1645,mantab saudaraku luar biasa sambut masyarakat aceh utk presiden prabowo amp wapres sandiuno kawal kemen 
1646,jangan suai harap real count kpu minta dihentikan 
1647,fahrihamzah mulai kawal kpu bang  atw mulai mana 
1648,suhairiamril nsusan zarafaul libra kpuid wr fagtng bangzul sarpakenaka pantunjp 
1649,simbahcocol tanda udh lalu jelas y admin kpuid emank cebonger 
1650,positof mungkin admin kpu ngetweet 
1651,danialnajwanar ferdinandhaean koplakitu kpu hitung manual do saksikan masing masing timses 
1652,msaiddidu kpuid sakit gigi labih sakit sakit hati 
1653, curang niat situng kpuid diinput c palsu saksi warganet punya c asli jelas kriminal 
1654, demo kpu motori artis papan atas indonesia lawan curang semua menghianati rakya 
1655,kpu ketapang gelar pleno rekapitulasi pemilu  tingkat kabupaten 
1656,nsusan zarafaul libra kpuid wr fagtng bangzul gk isah ladenin mbak iblis betina gk pe 
1657,our design students have arrived in spain ready for their field school adventures 
1658,oppositelinks ishgpx kpuid bawasluri divhumaspolri astaghfirullah 
1659,newzepret kpuid bawasluri banser ka dimari 
1660,hasil rekapitulasi kpu pilpres  suara  suara total 
1661,mulai klaim menang  tuduh kpu curang bukti kalap 
1662,harusnya tuntut perintah sebar luas wabah sakit nama pemilu lalu kpu 
1663, kpuid mula rekapitulasi hasil hitung suara nasional pemilu   rekap dimulai pemilu 
1664, breakingnews umum kpu tgl  mei  semua aplikasi sosial media diblokir rezim komunis 
1665, tim relawan it bpn prabowosandi temukan  salah situng kpu 
1666,munawartaufik samdanmara tsamaradki kpuid beda mas bukan tsamara amani alatas bio bilang 
1667,efek situng kpu jadi bawa alam sadar dg kata sby presiden ri  hehehehe lucu 
1668, warning jangan hilang fokus prosesor dibayar m jokowi utk alih fokus rakyat hitung 
1669,ibnuprakoso kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan bukan 
1670,ikramarki awalnya  vs  sekarang  vs kpu  vs mk lamalama  vs nkri hadehhh 
1671,kpuid wuahahahahha kalian oknumkpu tggu sampe ajal jemput kalian pertanggung jawabkan semua hadap 
1672, berita baru hasil real count kpu pilpres  jokowi vs prabowo jumat  pukul   lewa 
1673, sufi online with younus algohar  alra tv  april 
1674,kpuid hampir seminggu dibenarkan wa email tweet tetap tindak 
1675,dhonipp anonlokal arifwidianto rockygerung dibarizki anonimer ayyubi ayahbunda kpuid 
1676,jangan pernah tunduk imam dagel memang layak dijadikan teladan siapa d 
1677,unitedfans cuteanna kpuid real count kpu unggul jokowi 
1678,alanborut ratujunty kpuid marah warga surabaya tewasnya mallaby kalah british troops nica konta 
1679,dukung relawan  kecewa andamengapa katakan istana 
1680,berita baru hasil real count kpu pilpres  jokowi vs prabowo jumat  pukul   lewat tribunnews 
1681,doradong biasa sekumpulan ilmuwan sakit hati krna diskualisasi lembaga surve olh kpu jdi ramebalas dn 
1682,bernikusen annasuezann kpuid disonansi kognitif berketerusan akibat pribadi ganda 
1683,kpuid berani sumpah sambar petir gk 
1684,kpuid bawasluri ba dkppri polhukamri dlvhumaspolri mabespolri jokowi prabowo 
1685,hukumdan kangsemproel kpuid emang kpu salah hitung sampe ribu kali guobloooooook 
1686, kpu salah dimata kalah 
1687,aburasyid kpuid bawasluri  salah  suara  salah  juta suara   
1688,jelas jawa tengah suara sah hadir cocok mana datang  tercoblos  terus 
1689,tanyoana kpuid terus provokasi rakyat saatnya semua buka kpuid sdh buka 
1690,kpu kbb targetkan rapat pleno buka pemilu  selesai besok 
1691,denteguh stin bawasluri malah dihilangkan lgkpu bawaslu  
1692,diahsoewarno kpuid jadi beri kpu diri sisi mana 
1693, doradong masabudiman kpuid masjid dekat rumah insha allah warga cigombong kawal tuntas 
1694, you need some coffe kpuid  
1695,ardhanamin rockygerung kpuid cucookkkk cin 
1696,operasi cipta kondisi kpu curang 
1697, kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan berkali diingatkan dip 
1698,tepat kpu tolak mentahmentah minta ijtima ulama 
1699,abiyyu mirazhme kpuid cakkhum proftamburin zarazettirazr putrabanten maulanatigor lisaamartatara 
1700,seterahnegri goblokkapan kpu bilang jokowi menang pilpres 
1701,tunggu hasil real count kpuid  hasilnya kurang lebih sama rehat jenak karniilyas 
1702,vivacoid baca judul coment intinya banyak tuduh kpd kpu bukti lapor bawaslu 
1703,yullyanatan endjahh iryantoignas kpuid djanchoek lambemak rizmawidiono masbudi 
1704,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan hrsny krisis cen 
1705,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan hentikan penghitunga 
1706,husseinwahyu melindaaghnia jo paijo pihak diisu kpu isu kua karna tuhan 
1707,kpu becus kerja digaji ku kalau salah pecat arti siap siap pecat yan 
1708,oppositelinks johnzeddi kpuid 
1709,haikalhassan pasukantagar kpuid selalu ulang  salah input memang niat 
1710,ardianza gerindra dahnilanzar kpuid bawasluri dituduh curang guoblok 
1711,hnurwahid micheladamnew paling bertanggung jawab atas curang dialah hancur indonesia 
1712, kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan apabila sampe trjadi gejolak d 
1713,miris khatib khutbah jumat kemarin bilang sangkut pautkan kisah perang badar bulan ramadh 
1714, annasuezann kpuid psikolog sosial leon festinger sdh ingat lemah mentalitas sbg makhluk sosial kadang 
1715, ktr kpu jawa timur kotak suara polisi bentrok dgn massa krn lindung kotak suara dengarkan dgn baik vidio 
1716,msapunya kpuid bawasluri harap tenang jumlah salah nolkoma kata 
1717,ronavioleta paling bertanggung jawab atas curang dialah hancur indonesia kekuasaa 
1718, okelah fair salah curang data dimanamana tp lebih berat kmna tp skg masa iya sampe scan da 
1719,hasil pleno kpu lutra prabowo sandi raih  suara jokowiamin cumasegini 
1720,nakal tuan kpu 
1721,fadlizon kpuid besarnya beberapa klo jelas disebut jumlah klo ngarang nyeput jumlahnya 
1722,putraerlangga posisi kpubawaslu memang berat mungkin klausul khusus merubah patriotik n 
1723,kpuid andai kuhap emte jd rempeyek bolong d mane  bilin gaduh aj kpuid  bukan lurus ketid 
1724,kata cebong kecurangn setlh cek situng kpu data sedia ebong dpt data mana cc 
1725, quand on essaie de me remplacer par une autre personne a donne a 
1726,syarman bawasluri kpuid nyata selalu suai dgn harap utk bpn prabowo hrs siap dgn apapun 
1727,situng kpu disusupi c palsu suara jokowi medan naik 
1728,dukung kawal penghitunggan kpu semanggat 
1729,annasuezann kpuid kl ngelesnya makin masuk akal patut diduga gerombol bejat 
1730,kompascom iya in cepet kelar maennya jd presidennan lama eneg liat berita ky gini nunggu hasil 
1731, akuntofa tegasssss kpu tunduk rizieq kpu tunduk undangundang terimakasih kpu 
1732,pakarlogika sotoyy pakar logikacek langsung web kpu per tps banyak valid jg ngebrain wash 
1733,alisunartii vivacoid cebong baru lahir pernah ngikuti situng kpu lihat sendiri jangan minta disuapin 
1734,iyoet polisimedsos youngerone bhd joksusi ardhanamin malanasurur arifiadharma putram 
1735, temu ketua kpu zon pertanyakan sanksi salahentry 
1736,doncorleone kpuid c palsu pidana 
1737, hasil rekapitulasi suara kpu paslon  menang telak atas paslon  banyumas jateng pihak  protes banyak s 
1738,kpuid rasa tunduk sma undang 
1739,idrus apresiasi harga kpu 
1740,reno priyobudis kpuid kpuri bawaslu 
1741,alanborut ratujunty kpuid awal tetapkan ps sbg cawapres rumah gang pasang foto spt 
1742,ardianza mirip abs nyatanya umum kpu kalau nyata kalah pukulpukul meja 
1743,yakinkecurangan tnjukan telanjangsmakin bnyk lg pakar geram lihat klakuan kpusaya yakin ak 
1744,wanspartan kpuid bawasluri divhumaspolri iya cak emosiemosi sama siapaheeehanya doa dadi wong cilik 
1745,telkomsel screen shoot jadi chek no hp tahu akses disedot kaya  
1746,antaranews contoh gtgt 
1747,powerofreceh cakkhum coba cek kpu form c tangerang selatan 
1748,tolak people power aliansi mahasiswa bandung siap kawal kpu 
1749,kpuid surat suara ja korupsi gmana uang 
1750,mohrusdi vivacoid cebong dikasih data selalu bilang hoax tahu asal komen pernah perhatikan situng kpu 
1751,hukumdan bewox kpuid medan merdeka barat om 
1752,pakai situng pakai sempak merah pakai kondom gigi bukan acu hitung kpu hasil vinal 
1753,pks minta bpn prabowo sandi terima hormat hasil akhir kpu 
1754,hnurwahid kpuid makin kurang ajar kpuid tdk peka dgn kritisnya masyarakat stiap hari kritik bhkan maki 
1755,anget cek tkp langsungc ditukar sinetron kpu 
1756, ijtima ulama iii hasil putus bhw pemilu curang ulama desak kpu coret nama jokowimaruf 
1757,tular kpu  sby presiden  bukan 
1758,jamansulit kpuid  salah  suara  salah  juta suara   salah  
1759, pers dianggap giring opini publik open data dianggap giring opini publik sains dianggap giring opini publik 
1760,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan apabila sampe trjadi 
1761,samdanmara tsamaradki kpuid asli kali  tsamaradki 
1762,fadlizon merdekadotcom siapa gk awal jauh hri sblm pemilu mulai fremingnya sdh seting s 
1763,jujur eliteaparat negara tugas kpu uji allah swt masuk bulan ramadhan 
1764,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan tunjukin satu satu 
1765,tsamaradki ireneviena kpuid mana benar tsamaradki 
1766,makin suka liatin hasil situng kpuid  srmakin nampaklah panik utk menang  
1767, suara dprd jateng dapil iii kudus dasar hasil pleno kpu murianewscom 
1768, nafsu kali sekelas media online bilang tgl  mei  hari sdh hari sabtuitu nafsu menga 
1769,akhir segala cara digunakan menang kalau ketauan curang pasca tetap kpu gabisa k 
1770, hari pertama kpu grobogan selesaikan rekapitulasi suara pemilu   dapil murianewscom 
1771,lisaamartatara kpuid maju teruussssbpnallah sama 
1772,kpuid msaiddidu zarazettirazr cakkhum tijabar joniirian vivacoid bangpino acehselatansatu drkoko 
1773, kpu peduli sdh bukti curang input data situng kpu banyak   tps 
1774, kpu pati rampungkan rekapitulasi suara pemilu malam murianewscom 
1775, pleno kpu selesai hasil lengkap suara caleg dprd kabupaten kudus murianewscom 
1776,jon kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan betul kali 
1777,alibi maling tetangkap basah msk rmh org mo namu tp bongkar gembok pagar amp kunci pintu rmh jg dilakukan pd ja 
1778,hasil rekapitulasi kpu pilpres  suara  suara total 
1779,kpu serahkan santun keluarga tugas kpps wafat  kpuid 
1780,denger kpuid dizhalimi kerja netral stop curang kasian anak kecil apah klo 
1781,pleno kpu digelar maraton 
1782,hasil quick count akun diretas kerjaan admin mantan juru input kpu lupa sejarah gelap 
1783,ndutsyolshop fisipolugm akun robotnya didukung bagai lembaga survei menang jokowi 
1784, pola kapasitas kpu laku input data gambar grafik banyak janggal lihat masuknya d 
1785,powerofreceh bawasluri kpuid  m 
1786,gw mw tanya tanggap dek tsamaradki ttg bnyak korban tinggal dunia pemilu  kemudian tangg 
1787,vivacoid priyobudis segera audit it kpuid jujur takut 
1788,kpuid drama pecah udah kelar bangunin 
1789,wanspartan padioyan kpuid kapeu rasa  pertama deklarasi pemilu 
1790,mantap prop sindir buat kpu ma jleb presiden ajah harusnya  jadi  
1791,rileks waspada ketua satgas bpn bpk toto nyata   suara tggl tunggu putus kpu 
1792, sdh  tugas pemilu  wafat doa moga arwah dimuliakan allah swt perlu investigasi menyelu 
1793,drkoko yannoviar ngerti logika kpu 
1794, baik kpuid henti tayang hitung web kpu sll salah input lebih hitung tdk men 
1795,buahfresh candigawai kpuid hrs bener 
1796,tsamaradki kpuid makin tahu akhirnyaini benar kpu ktr jl diponegoro depan 
1797,aburizalbakrie yanuaritaeva pilpres  rasakan sangat prihatin indikasi curang sangat mudah 
1798,imayadewi teukatuah kpuid memang udah siapkan 
1799, jaring ulama muda nusantara tanggapi ijtima ulama iii  cc nahdlatululama khmluqman ubaidullah 
1800,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan salah entri koq d 
1801,abdulrachim ireneviena kpuid waaaah 
1802,resmi bpn laporkan  data salah input situng kpu bawaslu 
1803,imayadewi teukatuah kpuid salah input tiap hari jeda 
1804, namanja ruang it kpu ruang karaoke mengambarkan ruang eliteyg dibayar mahal rakyat  kerja kp 
1805,gua mesti turun tangan  lihat curang pilpres sdh nyata faktaafdol via tvmedsostdk dibiarkan 
1806, mandatory garudaemasntb putus salah satu komisioner kpu p 
1807,kpuid bawasluri gerindra fadlizon fahrihamzah dahnilanzar  mohon diperiksa segera dikoreksi salah scan 
1808,dahnilanzar bang web kpu jam  kurang tdk akses 
1809,denisrachmad johnzeddi divhumaspolri kpuid jokowi fahrihamzah endangprs prabowo bawasluri 
1810,glrhn habibthink divhumaspolri kpuid bawasluri tniad 
1811,jadi tiap pemilu kpu selalu salah dimata kalah 
1812,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan kerja bayar pa 
1813,jamansulit johnzeddi kpuid 
1814,kpuid serah lu komen jg nggk ngefek 
1815,ardhanamin rockygerung kpuid rockygerung kamu normal 
1816,maaf sibuk ngawasin kpu salah input data c  salah input tiap hari hadeeuuuuuhhh 
1817,ayiepnano inisialnya yakpu  
1818,fadlizon kalau bpn dikunjungi kpu lembaga quick count diliat gimana mekanisme hitung suaranya  berani 
1819,ratuanissah bawasluri kpuid selamat sdh masuk rangkap  amp kpu 
1820,kuat  kelompok cipayung plus dukung kpu bawaslu dkpp pbnu umat islam tunjukkan dewasa berdemokr 
1821, cek disini 
1822,noh berita gini paling diem dianggap wajar yaaaa kpuid 
1823,msapunya kpuid bawasluri hallo boss bawasluri  kpuid  kabar  salah bnyk skali  main ato kerja yah 
1824,hasil menang suara pilspres  lalu realcount kpu menang vs kalah tetap legowo perlu ribut k 
1825,masa tahan diperpanjang kpk romi ucapkan selamat kpu 
1826,haikalhassan kpuid hei media bacalah kumpar kompascom detikcom tvonenews netmediatama 
1827,dhanihendy kpuid bawasluri kawalpemilu onnowpurbo sandiuno prabowo kpuid banyak ma 
1828, april mestiny djadikan hari bencana nasional  jiwa layang sebuah pesta demokrasi ujung dng kesa 
1829, laknat lawan manusia durjana penting materi pribadi pikir rakyat pert 
1830,jongmuslim ratuanissah bawasluri kpuid prabowo sandiuno auwas lindungi saksi jangan diracun pki 
1831,bertemanm visa situng kpu udh sebar profesor 
1832,pleno kpu sungai penuh prabowo raih  persen jokowi  persen  berita jam 
1833, hilang  suara kode kalbar  kapuas hulu  boyan tanjung  mujan  tps  disitung  scan c  
1834,vivacoid msaiddidu ngaku kpu salah sampe 
1835,efek dekat sama kpu salah melulu 
1836,fadlizon kpuid jadi siapa benar menang 
1837,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan ngeles 
1838, c beda mohon dicek ulang kpuid tps  kel pasar manggis setiabudi jakarta selatan suara 
1839,tanyak rockygerung  udah diperbaiki kpuid koq kali  bukan angka  kode alam kol 
1840,republikaonline tanyak rockygerung  udah diperbaiki kpuid koq kali  bukan angka  kode alam kolam 
1841,tsamaradki ireneviena kpuid hati hati diikuti akun 
1842,asmara fadlizon prabowo wkwkwkkmsh nambah ni kampanyenya sdh klewat om tggl  mei tunggu hasilnya 
1843, kpuid habiburokhman msaiddidu cakkhum toperendusara  lampir tambah  sc web kpu  scan c form c plano 
1844, kpuid habiburokhman msaiddidu cakkhum toperendusara  kpuid 
1845, kpuid habiburokhman msaiddidu cakkhum toperendusara  kpuid mohon dicross check la 
1846, kpuid habiburokhman msaiddidu cakkhum toperendusara  mohon dicross chec 
1847, pasang jokowimaruf unggul empat wilayah dki jakarta barat jakarta pusat jakarta utara pulau ribu h 
1848, kpuid habiburokhman msaiddidu cakkhum toperendusara vascoruseimy reactips  nol part  
1849,syafrinkar kpuid joked dkindonesia stealth infonya intruder dpn gambir benarkah 
1850, adrianto pasal  amp  uu  ttg pemilu tlh atur tegas ttg ancam  thn pidana penjara bg coba utk menguta 
1851, kpuid habiburokhman msaiddidu cakkhum toperendusara vascoruseimy reactips priyobudis  salah input kak h 
1852, lampir tambah  salah input kak sc web kpu  scan c  versi data input web kpu  suara sah  
1853, akunny resmi  biru atas nama lembaga negara kpu like cuitan buzzer paslon  cuitanny ngejekin hrs klo s 
1854, situng kpuid beda c asli  data input  c asli  tps pekan 
1855, lampir tambah sc web kpu  scan c beda  form c asli  data input  c asli  
1856, janggal scan c identitas hasil scan c web kpuid beda sama c plano  situng kpu  
1857,curang tampak dimatakpuid bawasluri  dkppri usut siapakah buat c aspal 
1858, lampir janggal tps blang pauh duajulokaceh timur aceh  sc web kpu  scan c beda  identitas 
1859, lapor kpuid kembalikan keposisi mula  bukan  suara  situng kpu  
